Player,Pos,Tm,Salary
Dak Prescott\PresDa01,QB,DAL,$31409000
Jimmy Garoppolo\GaroJi00,QB,SFO,$23800000
Trent Brown\BrowTr02,OT,LVR,$21250000
Derek Carr\CarrDe02,QB,LVR,$18900000
Russell Wilson\WilsRu00,QB,SEA,$18000000
A.J. Green\GreeA.00,WR,CIN,$17971000
Ryan Tannehill\TannRy00,QB,TEN,$17500000
Aaron Donald\DonaAa00,DT,LAR,$17000000
Matt Judon\JudoMa00,DE,BAL,$16808000
Leonard Williams\WillLe02,DT,NYG,$16126000
Chris Jones\JoneCh09,DT,KAN,$16126000
Taylor Lewan\LewaTa00,OT,TEN,$16000000
Chandler Jones\JoneCh03,DE,ARI,$16000000
Alex Smith\SmitAl03,QB,WAS,$16000000
Shaquil Barrett\BarrSh00,OLB,TAM,$15828000
Bud Dupree\DuprAl00,DE,PIT,$15828000
J.J. Watt\WattJ.00,DE,HOU,$15500000
Brandon Scherff\ScheBr00,G,WAS,$15030000
Tom Brady\BradTo00,QB,TAM,$15000000
Joe Thuney\ThunJo00,OG,NWE,$14781000
T.Y. Hilton\HiltT.00,WR,IND,$14542000
Donovan Smith\SmitDo02,OT,TAM,$14500000
Stefon Diggs\DiggSt00,WR,BUF,$14200000
Odell Beckham Jr.\BeckOd00,WR,CLE,$14000000
Melvin Ingram\IngrMe00,DE,LAC,$14000000
Khalil Mack\MackKh00,OLB,CHI,$13300000
Jarvis Landry\LandJa00,WR,CLE,$13000000
Philip Rivers\RivePh00,QB,IND,$13000000
A.J. Bouye\BouyA.00,CB,DEN,$13000000
Stephon Gilmore\GilmSt00,CB,NWE,$13000000
Russell Okung\OkunRu20,T,CAR,$13000000
Myles Jack\JackMy00,OLB,JAX,$12750000
Kawann Short\ShorKa00,DT,CAR,$12500000
Trent Williams\WillTr21,T,SFO,$12500000
DeForest Buckner\BuckDe00,DT,IND,$12378000
Patrick Peterson\PetePa00,CB,ARI,$12050000
Frank Clark\ClarFr01,DE,KAN,$12000000
Davante Adams\AdamDa01,WR,GNB,$12000000
Xavien Howard\HowaXa00,CB,MIA,$11900000
Sheldon Richardson\RichSh00,DT,CLE,$11900000
Ryan Kerrigan\KerrRy00,DE,WAS,$11500000
Justin Simmons\SimmJu00,FS,DEN,$11441000
Anthony Harris\HarrAn01,DB,MIN,$11441000
Jurrell Casey\CaseJu00,DL,DEN,$11250000
Julio Jones\JoneJu02,WR,ATL,$11200000
Tyrann Mathieu\MathTy00,CB,KAN,$11150000
Trey Flowers\FlowTr00,DE,DET,$11125000
Geno Atkins\AtkiGe99,DT,CIN,$11100000
Larry Fitzgerald\FitzLa00,WR,ARI,$11000000
Kareem Jackson\JackKa99,DB,DEN,$11000000
Byron Jones\JoneBy00,CB,MIA,$11000000
Malcolm Butler\ButlMa01,CB,TEN,$11000000
Allen Robinson\RobiAl02,WR,CHI,$10900000
Laremy Tunsil\TunsLa00,OT,HOU,$10850000
Bobby Wagner\WagnBo00,ILB,SEA,$10750000
Lavonte David\DaviLa00,OLB,TAM,$10750000
Hunter Henry\HenrHu00,TE,LAC,$10607000
David Bakhtiari\BakhDa00,OT,GNB,$10500000
Whitney Mercilus\MercWh00,DE,HOU,$10500000
Akiem Hicks\HickAk00,DE,CHI,$10200000
David Johnson\JohnDa08,RB,HOU,$10200000
Will Fuller\FullWi01,WR,HOU,$10162000
Kevin Zeitler\ZeitKe00,G,NYG,$10000000
Ryan Jensen\JensRy00,T,TAM,$10000000
Marcus Peters\PeteMa00,CB,BAL,$10000000
Anthony Barr\BarrAn00,OLB,MIN,$10000000
Amari Cooper\CoopAm00,WR,DAL,$10000000
Landon Collins\CollLa00,SS,WAS,$10000000
William Jackson III\JackWi02,CB,CIN,$9954000
Alshon Jeffery\JeffAl00,WR,PHI,$9910000
Casey Hayward\HaywCa00,DB,LAC,$9750000
Rodger Saffold\SaffRo20,T,TEN,$9500000
Kirk Cousins\CousKi00,QB,MIN,$9500000
Gabe Jackson\JackGa00,OG,LVR,$9350000
Rob Gronkowski\GronRo00,TE,TAM,$9000000
Andrew Norwell\NorwAn01,G,JAX,$9000000
Stephon Tuitt\TuitSt00,DT,PIT,$9000000
Eric Fisher\FishEr00,OT,KAN,$8750000
Duane Brown\BrowDu20,T,SEA,$8750000
